Codigo de Centro,Sucursal,Hogar,Salud y Bellleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN092,PLAZA JARDIN NEZA,20846,209656,54387,620683,1243306,1206356,994699,4349933,3/31/2022
CEN093,COSMOPOL,41262,1216240,482659,1128500,131198,501717,989081,4490657,3/31/2022
CEN094,ZENTRALIA CIUDAD DEL CARMEN,377518,99033,839709,716102,1174011,867722,946784,5020879,3/31/2022
CEN095,PASEO LA FE MONTERREY,1061283,1008475,533797,995464,897901,891116,161128,5549164,3/31/2022
CEN096,PATIO TLAXCALA,1224759,638942,647590,1008672,71516,1155628,88245,4835352,3/31/2022
CEN097,ZENTRALIA COLIMA,696390,1143258,275084,492365,302452,452541,547863,3909953,3/31/2022
CEN098,GRAN SUR,80402,1140779,72098,925817,150831,495970,707266,3573163,3/31/2022
CEN099,PABELLON CUEMANCO,58612,198100,1072957,657139,138416,733460,1004297,3862981,3/31/2022
CEN100,WORLD TRADE CENTER,,,,,,,,,3/31/2022
CEN101,ANGELOPOLIS PUEBLA,335004,717046,1098179,1185429,454653,837665,1039405,5667381,3/31/2022
CEN102,CUMBRES MTY NUEVO LEON,256726,1069929,932867,770772,1230262,960040,477966,5698562,3/31/2022
CEN103,FASHION DRIVE,357339,442423,142067,863085,563868,1048272,1065344,4482398,3/31/2022
CEN104,PUNTO VALLE NUEVO LEON,,,,,,,,,3/31/2022
CEN105,LINCOLN MONTERREY,,,,,,,,,3/31/2022
CEN106,MONTERREY MORELOS (CENTRO),737628,1189949,546578,682590,705406,987738,785792,5635681,3/31/2022
CEN107,PUNTO SUR,578045,699617,630211,631208,494752,1073294,1228316,5335443,3/31/2022
CEN108,LA PERLA JALISCO,333930,431593,205512,698714,634452,499485,1035745,3839431,3/31/2022
CEN109,GALERIAS VALLE ORIENTE MTY,459188,1004879,1168793,684304,339080,1054460,725531,5436235,3/31/2022
CEN110,PATIO MERIDA,,,,,,,,,3/31/2022
CEN111,MAX LEON,367445,878826,677224,485336,801531,769468,371921,4351751,3/31/2022
CEN112,ESPACIO CONDESA,,,,,,,,,3/31/2022
CEN113,DESCONOCIDO,,,,,,,,,3/31/2022
CEN114,PLAZA MAGNO CENTRO,467924,618537,822394,889822,84433,1141572,483451,4508133,3/31/2022
CEN115,TAPACHULA CENTRO,909150,1011890,1153767,1161235,1198111,1042323,408465,6884941,3/31/2022
CEN116,PLAYA DEL CARMEN,,,,,,,,,3/31/2022
CEN117,AMERICAS MORELIA (ESPACIO),1064434,998059,313113,52539,601295,509408,136022,3674870,3/31/2022
CEN118,MORELIA CENTRO,444966,847642,537522,950394,67170,233056,375167,3455917,3/31/2022
CEN119,DORADOS SAN LUIS,764180,629146,758690,1036145,1142227,647764,42576,5020728,3/31/2022
CEN120,LA LUCIERNAGA,434675,826983,595306,1043710,953409,538040,1039176,5431299,3/31/2022
CEN121,AMERICAS VERACRUZ B,855578,116135,192134,212449,881272,616213,774078,3647859,3/31/2022
CEN122,PASEO SAN PEDRO MTY,521977,1121429,302225,774086,668884,204965,763450,4357016,3/31/2022
CEN123,OAXACA CENTRO,1188862,686400,167054,1120310,844741,527040,584575,5118982,3/31/2022
CEN124,AEROPUERTO CANCUN,,,,,,,,,3/31/2022
CEN125,AMBAR TUXTLA,379321,268212,1212682,142583,644373,1035827,1222047,4905045,3/31/2022
CEN126,FORUM TLAQUEPAQUE,997173,234327,112504,192584,1118799,1231044,1116674,5003105,3/31/2022
CEN127,OUTLET LERMA,693381,645856,828484,1243656,31845,466943,747208,4657373,3/31/2022
CEN128,VERACRUZ CENTRO,968902,839777,1246509,460803,544191,810324,325089,5195595,3/31/2022
CEN129,PARQUE CELAYA,62454,1129299,1198358,1200977,784398,785248,1191822,6352556,3/31/2022
CEN130,AMERICAS TUXTLA,1162900,811464,990580,743340,339187,1065110,1026922,6139503,3/31/2022
CEN131,GENOVA,423850,931125,141299,944678,75183,734956,643156,3894247,3/31/2022
CEN132,PASEO ALTOZANO,1001569,202860,609252,454017,487324,299457,951013,4005492,3/31/2022
CEN133,PASEO CENTRAL CHIHUAHUA,251298,563137,1026098,211716,983051,1245343,610921,4891564,3/31/2022
CEN134,GRAN PLAZA MERIDA,1094905,481149,91652,421521,1159880,370727,557930,4177764,3/31/2022
CEN135,AEROPUERTO CANCUN T2,304186,145091,457325,184364,384895,688719,213360,2377940,3/31/2022
CEN136,AEROPUERTO CANCUN T4,169499,475243,1152998,250238,688548,198488,281191,3216205,3/31/2022
CEN137,PLAZA INSURGENTES,679325,636564,694016,903373,545820,1046392,786997,5292487,3/31/2022
CEN138,ALTABRISA TABASCO,99755,706911,489695,964055,180964,609000,1007656,4058036,3/31/2022
CEN139,APTO CANCUN T2 GDE,92216,994217,851957,391769,1010309,1168491,128395,4637354,3/31/2022
CEN140,DESCONOCIDO,,,,,,,,,3/31/2022
CEN141,GALERIAS DIANA,1138560,900403,1020612,52836,478669,727600,1220380,5539060,3/31/2022
CEN142,TAMPICO CENTRO,655787,1219891,290854,58696,815848,303933,981988,4326997,3/31/2022
CEN143,ALTAMA,80093,877412,1144330,989094,1169708,513869,804512,5579018,3/31/2022
CEN144,PATIO ACAPULCO,30800,285563,876545,861732,691968,335941,812631,3895180,3/31/2022
CEN145,CITADEL LA FE,1178865,446585,463159,821988,76359,487301,187161,3661418,3/31/2022
CEN146,GALERIAS VALLARTA,152103,851171,340331,991870,59523,1013590,249091,3657679,3/31/2022
CEN147,ALAIA GUANAJUATO,863191,1205220,1080701,31847,748225,999235,168569,5096988,3/31/2022
CEN148,ISLA VALLARTA,763863,1109457,241680,1076083,231694,1207981,640606,5271364,3/31/2022
CEN149,DESCONOCIDO,,,,,,,,,3/31/2022
CEN150,VIA ALTA GUANAJUATO,21567,781781,263332,651798,498783,204708,1233841,3655810,3/31/2022
CEN151,PLAZA FIESTA ANAHUAC,946744,882569,656227,257362,732246,205266,87804,3768218,3/31/2022
CEN152,PLAZA FIESTA SAN  AGUSTIN,294213,598971,318222,34965,937196,779510,646823,3609900,3/31/2022
CEN153,LAGO DE GUADALUPE,696868,930963,1098796,564694,118828,514918,131796,4056863,3/31/2022
CEN154,CENTRIKA,540233,882769,774334,600444,884895,782798,1077909,5543382,3/31/2022
CEN155,PATIO POZA RICA,733899,512309,338520,712371,975134,848351,645295,4765879,3/31/2022
CEN156,MERIDA CITY CENTER,441155,659603,673714,737021,245116,474424,1108520,4339553,3/31/2022
CEN157,ZENTRALIA CHURUBUSCO,99643,969369,610280,740724,431522,1042306,161501,4055345,3/31/2022
CEN158,ALMANARA,967304,1027970,962661,526111,417714,776918,398275,5076953,3/31/2022
CEN159,PATIO HERMOSILLO,939143,670853,405405,735484,996966,1239073,1035130,6022054,3/31/2022
CEN160,PATIO CHALCO,269357,67367,134386,1144426,1223372,87304,1248970,4175182,3/31/2022
CEN161,GALERIAS MAZATLAN,669538,194128,689656,545950,592928,1160078,295942,4148220,3/31/2022
CEN162,TERRAZA COAPA,1001583,604976,164994,361658,803581,1229131,764355,4930278,3/31/2022
CEN163,LANDMARK GDL,707400,715660,612050,940123,114478,387980,1011432,4489123,3/31/2022
CEN164,ESPACIO AGUASCALIENTES,1103701,1175751,65647,426105,1201983,543864,203450,4720501,3/31/2022
CEN165,PATIO LINCOLN,766090,1110140,731039,682408,1042407,830260,127230,5289574,3/31/2022
CEN166,CHIHUAHUA CENTRO,,,,,,,,,3/31/2022
CEN167,OUTLET CANCUN,901755,231241,227094,693331,1153132,230547,445421,3882521,3/31/2022
CEN168,AMERICAS MERIDA,406318,473320,124587,1011637,1027450,1176581,519551,4739444,3/31/2022
CEN169,POZA RICA CENTRO,794514,1112598,1038953,866709,899244,864433,350220,5926671,3/31/2022
CEN170,PATIO MATAMOROS,615760,442923,66636,926530,1098481,766148,241378,4157856,3/31/2022
CEN171,SANTA ANITA,1134307,703243,125813,137875,116099,1204114,1169549,4591000,3/31/2022
CEN172,SENDERO TOLUCA,323098,877579,341457,398193,256752,680950,914988,3793017,3/31/2022
CEN173,SENDERO TIJUANA,732305,990151,992684,885653,187558,596686,793254,5178291,3/31/2022
CEN174,PLAYA DEL CARMEN ESSES,1111901,958642,370944,911568,1159111,1132258,1071245,6715669,3/31/2022
CEN175,FORUM TEPIC,489339,1082133,520324,243892,857910,488143,647238,4328979,3/31/2022
CEN176,PLAZA BELLA OAXACA,490263,100142,619493,1127912,430568,1120919,202542,4091839,3/31/2022
CEN177,MACROPLAZA DEL VALLE (MEXICALI),242724,749173,1028549,833137,211997,445106,896543,4407229,3/31/2022
CEN178,PASEO LOS MOCHIS,206387,357766,960347,678142,826807,191264,904303,4125016,3/31/2022
CEN179,PLAZA TEPEYAC,532798,326853,335302,234621,303683,953319,801665,3488241,3/31/2022
CEN180,AMERICAS XALAPA,658761,1077633,328733,436191,483591,534676,138259,3657844,3/31/2022
CEN181,PLAZA SATELITE,297486,336000,381438,1000284,849035,971098,1192291,5027632,3/31/2022
CEN182,SENDERO OBREGON,978844,1021922,838915,383821,272156,912594,891840,5300092,3/31/2022
CEN183,MASARYK,427804,654220,151244,481613,698878,722507,255048,3391314,3/31/2022
CEN184,TOWN CENTER EL ROSARIO,439497,72678,1130870,221792,736917,484907,950826,4037487,3/31/2022
CEN185,LOS ATRIOS CUAUTLA,276250,1219574,994101,772063,454342,1153592,702376,5572298,3/31/2022
CEN186,DESCONOCIDO,,,,,,,,,3/31/2022
CEN187,GRAN TERRAZA OBLATOS,645291,513755,288897,680980,80208,1150266,1182975,4542372,3/31/2022
CEN188,PLAZA SAN PEDRO,509531,465207,52979,903727,952838,526311,807607,4218200,3/31/2022
CEN189,MADERO 67,1054420,948543,1069469,1150223,868539,606426,1171701,6869321,3/31/2022
CEN190,REFORMA LAREDO,439693,482581,821132,37845,578633,1004666,213188,3577738,3/31/2022
CEN191,PREMIUM OUTLETS QUERETARO,1115795,868258,512879,587368,312947,644599,1105890,5147736,3/31/2022
CEN192,ACTINVER SANTA FE,396754,250575,970600,468491,436200,294162,487913,3304695,3/31/2022
CEN193,PRADO NORTE,353078,892528,799231,813626,882660,693625,442494,4877242,3/31/2022
CEN194,GALERIAS TLAXCALA,1228702,1135535,988520,524956,594383,757712,1152744,6382552,3/31/2022
CEN195,GALERIAS CAMPECHE,1228513,529060,751149,500144,478868,207385,574327,4269446,3/31/2022
CEN196,GALERIAS CELAYA,384282,1092832,756225,1170118,35696,1201938,1230281,5871372,3/31/2022
CEN197,GALERIAS TAPACHULA,960630,628128,450406,513920,870175,969237,609240,5001736,3/31/2022
CEN198,FASHION MALL CHIHUAHUA,559376,85981,341073,991959,897687,1087747,239504,4203327,3/31/2022
CEN199,PUNTA NORTE,171351,670370,1165471,136328,314091,932350,1202988,4592949,3/31/2022
CEN200,PERISUR,933313,57581,149220,1145217,930551,802478,1004698,5023058,3/31/2022
CEN201,ESFERA MONTERREY,392716,1015835,82313,205055,931725,484288,1119143,4231075,3/31/2022
CEN202,COATZACOALCOS CENTRO,,,,,,,,,3/31/2022
CEN203,MACROPLAZA INSURGENTES (TIJUANA),1110952,198872,674682,188998,366640,1017631,1058404,4616179,3/31/2022
CEN204,PUERTA TEXCOCO,803577,581217,113068,486526,897141,715449,537845,4134823,3/31/2022
CEN205,APTO CHIHUAHUA,319888,556333,39094,21890,979341,375186,813729,3105461,3/31/2022
CEN206,ROYAL VILLAGE COZUMEL,670905,708076,884728,512740,379350,477637,367887,4001323,3/31/2022
CEN207,APTO MTY TA,237628,239949,246578,132590,105406,187738,485792,1635681,3/31/2022
CEN208,APTO SLP,385148,819227,94162,251972,413009,1068261,63464,3095243,3/31/2022
CEN209,APTO CD JUAREZ,402495,170359,1185432,156459,609193,103472,268244,2895654,3/31/2022
CEN210,PUERTO PARAISO LOS CABOS,560325,24008,1142601,1152680,627359,119821,315929,3942723,3/31/2022
CEN211,LAS MISIONES JUAREZ,24645,1173704,67035,1089335,737525,494804,1141015,4728063,3/31/2022
CEN212,APTO MTY TC,572288,647684,122614,908989,62841,422096,386318,3122830,3/31/2022
CEN213,APTO MAZATLAN,391095,331962,28646,637880,779569,119627,95995,2384774,3/31/2022
CEN214,APTO CULIACAN,,,,,,,,,3/31/2022
CEN215,GALERIAS CUERNAVACA,489468,1047810,416329,20395,617445,1072157,926620,4590224,3/31/2022
CEN216,PLAZA SAN LUIS,574945,499807,858112,282760,283243,722835,1140137,4361839,3/31/2022
CEN217,GRAN PLAZA MAZATLAN,,,,,,,,,3/31/2022
CEN218,AMERICAS ECATEPEC,624679,695539,556684,592685,125276,1174079,191553,3960495,3/31/2022
CEN219,PLAZA AGORA,732165,643953,321928,1199547,235847,1200397,603402,4937239,3/31/2022
CEN220,PARQUE TEZONTLE,1068389,1205828,346775,588275,236126,476025,128846,4050264,3/31/2022
CEN221,E COMMERCE,634430,1545453,275084,492365,302452,452541,547863,4250188,3/31/2022
CEN222,GALERIAS MONTERREY,624565,631022,340585,354567,159643,645675,156238,2912295,3/31/2022
CEN223,GALERIAS METEPEC,485335,607604,950698,690379,472837,886418,119944,4813215,3/31/2022
CEN224,SAN LUIS POTOSI CENTRO,211134,817500,489508,1018778,113782,191316,1170405,4012423,3/31/2022
CEN225,PARQUE LINDAVISTA,1017981,73604,74021,941133,839673,135181,179186,3260779,3/31/2022
CEN226,OCEANIA,429972,700570,637213,785589,791790,20338,817705,4183177,3/31/2022
CEN227,APTO T1 GRANDE,813627,125724,453268,601168,718360,347509,37355,3097011,3/31/2022
CEN228,APTO T1 CHICA,,,,,,,,,3/31/2022
CEN229,PENINSULA TIJUANA,781107,343632,915722,259289,944970,793213,707063,4744996,3/31/2022
CEN230,PARQUE TEPEYAC,176562,617430,438648,1001485,259590,1028084,437275,3959074,3/31/2022
CEN231,PORTAL SAN ANGEL,382806,1104328,674022,807367,673858,250316,103216,3995913,3/31/2022
CEN232,AMERICAS CHETUMAL,964982,790500,420798,370930,322241,578234,155787,3603472,3/31/2022
CEN233,GALERIAS SALTILLO,308225,607689,1120980,364943,784125,1009556,524612,4720130,3/31/2022
CEN234,MITHIKA,1091820,49348,233951,809886,122719,272122,1203119,3782965,3/31/2022
CEN235,FUNO CAMBIO 3,,,,,,,,,3/31/2022
CEN236,FUNO CAMBIO 4,,,,,,,,,3/31/2022
