Codigo de Centro,Sucursal,Hogar,Salud y Belleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN040,ALTACIA LEON,762244,641436,51669,667904,723106,553301,740369,4140029,9/30/2022
CEN041,ALTARIA AGUASCALIENTES,211901,360635,265143,1198074,1105966,943067,420841,4505627,9/30/2022
CEN042,AEROPUERTO I,,,,,,,,,9/30/2022
CEN043,TERMINAL 2,34148,239658,217347,292807,290068,170060,322850,1566938,9/30/2022
CEN044,SAMARA,656754,592315,409020,1098735,131800,70048,735703,3694375,9/30/2022
CEN045,DESCONOCIDO,,,,,,,,,9/30/2022
CEN046,GRAN PLAZA GUADALAJARA,1165763,255711,963089,880154,1242155,546269,143222,5196363,9/30/2022
CEN047,GALERIAS GUADALAJARA,695422,420941,167473,898076,249990,709693,1202510,4344105,9/30/2022
CEN048,PASEO DEL CARMEN,1176550,501406,992668,1113472,982410,1160914,470659,6398079,9/30/2022
CEN049,REVOLUCION,717845,1168247,754997,1248453,41841,787171,1100150,5818704,9/30/2022
CEN050,ANTENAS,536335,671313,1127740,241772,651513,781313,928549,4938535,9/30/2022
CEN051,AEROPUERTO VOLARIS,146774,39684,223415,250238,157335,25485,390740,1233671,9/30/2022
CEN052,AEROPUERTO INTERNACIONAL,40481,469543,91459,916479,416614,47398,510592,2492566,9/30/2022
CEN053,THOR PLAYA DEL CARMEN,,,,,,,,,9/30/2022
CEN054,GRAN PLAZA CANCUN,718337,160734,709829,368449,762126,244312,89576,3053363,9/30/2022
CEN055,GALERIAS PACHUCA,1035565,1194534,360735,387907,582158,998190,65802,4624891,9/30/2022
CEN056,AMERICAS CHETUMAL,,,,,,,,,9/30/2022
CEN057,AMERICAS PLAYA DEL CARMEN,1068212,818518,258888,664021,682145,776855,697976,4966615,9/30/2022
CEN058,CANCUN MALL,904464,877892,804379,918861,806693,1073463,958800,6344552,9/30/2022
CEN059,CLAVERIA,823823,900801,472075,941033,147263,212088,288205,3785288,9/30/2022
CEN060,LA ISLA CANCUN,322111,671929,1102237,273740,1116194,941995,1009979,5438185,9/30/2022
CEN061,MITHIKA,,,,,,,,,9/30/2022
CEN062,PARQUE TOREO,34148,1039658,517347,892807,990068,270060,922850,4666938,9/30/2022
CEN063,AMERICAS CANCUN,1173548,1092000,88888,285949,250032,446377,774415,4111209,9/30/2022
CEN064,CHEDRAUI POLANCO,128036,37658,1018121,217565,67050,720099,564964,2753493,9/30/2022
CEN065,AMERICAS VERACRUZ,141973,537668,296807,541292,33389,841500,702773,3095402,9/30/2022
CEN066,EL DORADO VERACRUZ,885226,848705,672611,333145,183483,67495,570493,3561158,9/30/2022
CEN067,AEROPUERTO SALAS,132984,236798,204734,28041,243909,244472,258376,1349314,9/30/2022
CEN068,ANTEA QUERETARO,154302,439449,475254,1040837,414400,313226,375078,3212546,9/30/2022
CEN069,CIBELES IRAPUATO,128420,120901,380063,1078170,856120,1058652,611816,4234142,9/30/2022
CEN070,PUERTA LA VICTORIA,617066,777762,840690,664002,1096644,401878,737110,5135152,9/30/2022
CEN071,PUERTA ARAGON,,,,,,,,,9/30/2022
CEN072,TOLUCA PORTALES,458343,1042923,857771,1194484,716927,565955,116185,4952588,9/30/2022
CEN073,SENTURA TLALNEPANTLA,643590,1069861,905480,44212,526759,56839,591234,3837975,9/30/2022
CEN074,CENTRO MERIDA,75637,578996,406080,868415,1236719,234382,1057886,4458115,9/30/2022
CEN075,OASIS COYOACAN,593882,906563,252030,329799,932680,387462,162149,3564565,9/30/2022
CEN076,PLAZA CENTRAL,1040672,1008177,231202,397072,832286,1219578,204957,4933944,9/30/2022
CEN077,PARQUE DELTA,1030677,590767,278800,893855,215699,951220,1117565,5078583,9/30/2022
CEN078,MUNDO E CINEMEX,890832,67494,690626,556704,803971,283839,89917,3383383,9/30/2022
CEN079,PASEO INTERLOMAS,659451,418564,373161,1119890,719296,813807,338031,4442200,9/30/2022
CEN080,GALERIAS TOLUCA,1029587,513155,963162,709368,97858,630367,342913,4286410,9/30/2022
CEN081,PLAZA DORADA,402646,1216643,1109191,566903,569089,89178,761021,4714671,9/30/2022
CEN082,AMBAR GUANAJUATO,,,,,,,,,9/30/2022
CEN083,PATIO TAPACHULA,,,,,,,,,9/30/2022
CEN084,TORRE LATINOAMERICANA,430735,131362,1000416,868728,997792,969235,766722,5164990,9/30/2022
CEN085,PLAZA LA ROSA,177738,869828,97781,553694,1224995,629386,295417,3848839,9/30/2022
CEN086,HARBOR MERIDA,220147,600228,1027055,742839,375798,1173884,548164,4688115,9/30/2022
CEN087,DESCONOCIDO,,,,,,,,,9/30/2022
CEN088,PORTAL CENTRO,730858,1187558,858701,378767,134586,950624,1244413,5485507,9/30/2022
CEN089,CRYSTAL XALAPA,1144335,1020262,890297,1140535,735562,200807,865726,5997524,9/30/2022
CEN090,PLAZA MAYOR,609747,1104767,585051,903558,537801,1217936,358593,5317453,9/30/2022
CEN091,ALTABRISA MERIDA,894279,1071079,1153939,705089,592797,1146824,814346,6378353,9/30/2022
CEN092,PLAZA JARDIN NEZA,1116793,418318,1208124,561036,420060,279106,158403,4161840,9/30/2022
CEN093,COSMOPOL,771716,981865,527405,346518,151595,785339,779088,4343526,9/30/2022
CEN094,ZENTRALIA CIUDAD DEL CARMEN,109697,1135046,316001,1163073,1003045,530349,633937,4891148,9/30/2022
CEN095,PASEO LA FE MONTERREY,1178167,1126050,862989,172922,1015154,688569,526496,5570347,9/30/2022
CEN096,PATIO TLAXCALA,859197,239873,430215,1161775,324781,1142387,476932,4635160,9/30/2022
CEN097,ZENTRALIA COLIMA,400993,275095,314103,144826,739721,1082735,704254,3661727,9/30/2022
CEN098,GRAN SUR,264011,805795,89644,922094,310039,108167,740595,3240345,9/30/2022
CEN099,PABELLON CUEMANCO,193215,652670,512598,70416,477987,755155,909498,3571539,9/30/2022
CEN100,WORLD TRADE CENTER,,,,,,,,,9/30/2022
CEN101,ANGELOPOLIS PUEBLA,1116673,434462,1071547,429830,844620,647915,1189970,5735017,9/30/2022
CEN102,CUMBRES MTY NUEVO LEON,952599,1130703,313989,1086755,1212249,422097,644290,5762682,9/30/2022
CEN103,FASHION DRIVE,614297,239127,470323,490820,741460,800341,949606,4305974,9/30/2022
CEN104,PUNTO VALLE NUEVO LEON,,,,,,,,,9/30/2022
CEN105,LINCOLN MONTERREY,,,,,,,,,9/30/2022
CEN106,MONTERREY MORELOS (CENTRO),1107301,990601,690882,527273,1082558,527957,701729,5628301,9/30/2022
CEN107,PUNTO SUR,1206886,1054272,680697,891555,273075,475122,702342,5283949,9/30/2022
CEN108,LA PERLA JALISCO,62854,109472,823088,507430,1001168,67940,980218,3552170,9/30/2022
CEN109,GALERIAS VALLE ORIENTE MTY,1205649,509644,590734,867484,460570,545791,1234016,5413888,9/30/2022
CEN110,PATIO MERIDA,,,,,,,,,9/30/2022
CEN111,MAX LEON,1136155,525947,1048822,552409,256923,435032,217485,4172773,9/30/2022
CEN112,ESPACIO CONDESA,,,,,,,,,9/30/2022
CEN113,DESCONOCIDO,,,,,,,,,9/30/2022
CEN114,PLAZA MAGNO CENTRO,765764,78806,963431,565003,1172450,91953,731767,4369174,9/30/2022
CEN115,TAPACHULA CENTRO,1116228,558105,927086,1169963,978452,980325,861456,6591615,9/30/2022
CEN116,PLAYA DEL CARMEN,,,,,,,,,9/30/2022
CEN117,AMERICAS MORELIA (ESPACIO),879023,1246329,477770,45324,549391,116216,128027,3442080,9/30/2022
CEN118,MORELIA CENTRO,496453,348212,332181,565841,102188,1196712,49578,3091165,9/30/2022
CEN119,DORADOS SAN LUIS,625942,1033163,931942,918172,478481,399391,500923,4888014,9/30/2022
CEN120,LA LUCIERNAGA,447190,384078,389236,1247431,1247768,707331,893558,5316592,9/30/2022
CEN121,AMERICAS VERACRUZ B,585019,383375,151914,841502,579515,414333,374177,3329835,9/30/2022
CEN122,PASEO SAN PEDRO MTY,1158926,508310,993359,102482,598780,631738,199138,4192733,9/30/2022
CEN123,OAXACA CENTRO,651567,77681,42715,1175747,861891,1090769,1209463,5109833,9/30/2022
CEN124,AEROPUERTO CANCUN,,,,,,,,,9/30/2022
CEN125,AMBAR TUXTLA,1064259,31209,999723,1035469,393182,937903,250293,4712038,9/30/2022
CEN126,FORUM TLAQUEPAQUE,954699,1156865,79636,929507,530556,503913,689334,4844510,9/30/2022
CEN127,OUTLET LERMA,197398,760479,1195699,516111,32884,1241816,528773,4473160,9/30/2022
CEN128,VERACRUZ CENTRO,224883,951098,849961,517365,960013,1216223,446332,5165875,9/30/2022
CEN129,PARQUE CELAYA,701999,1010612,828525,803146,1100187,1079768,883579,6407816,9/30/2022
CEN130,AMERICAS TUXTLA,866624,1153621,975874,850924,1133095,540831,836587,6357556,9/30/2022
CEN131,GENOVA,646774,179684,623415,850238,157335,95485,1090740,3643671,9/30/2022
CEN132,PASEO ALTOZANO,995829,198249,740070,513173,1001579,190773,117756,3757429,9/30/2022
CEN133,PASEO CENTRAL CHIHUAHUA,910739,337754,980478,1221657,400283,755665,99201,4705777,9/30/2022
CEN134,GRAN PLAZA MERIDA,563030,137818,20009,564406,920779,843191,920274,3969507,9/30/2022
CEN135,AEROPUERTO CANCUN T2,108293,399231,112720,291811,529725,28673,457112,1927565,9/30/2022
CEN136,AEROPUERTO CANCUN T4,254875,327941,284249,493854,660014,582445,270711,2874089,9/30/2022
CEN137,PLAZA INSURGENTES,1182517,497039,777731,123126,1171722,1129930,387677,5269742,9/30/2022
CEN138,ALTABRISA TABASCO,1200006,85977,394701,776658,714200,25344,637621,3834507,9/30/2022
CEN139,APTO CANCUN T2 GDE,702764,376393,1248212,50934,1192356,277668,614582,4462909,9/30/2022
CEN140,DESCONOCIDO,,,,,,,,,9/30/2022
CEN141,GALERIAS DIANA,1227961,635094,41027,1041622,1049683,653094,856353,5504834,9/30/2022
CEN142,TAMPICO CENTRO,1176991,156793,333888,345330,927147,528178,595311,4063638,9/30/2022
CEN143,ALTAMA,1016709,78992,1044240,751272,457613,1048098,1219633,5616557,9/30/2022
CEN144,PATIO ACAPULCO,25112,751463,26598,1042231,262310,1095676,453497,3656887,9/30/2022
CEN145,CITADEL LA FE,484049,411349,877111,422920,144939,249472,843247,3433087,9/30/2022
CEN146,GALERIAS VALLARTA,439296,83567,1092489,755164,360283,81578,549940,3362317,9/30/2022
CEN147,ALAIA GUANAJUATO,973438,442996,140806,684448,900229,1033018,852497,5027432,9/30/2022
CEN148,ISLA VALLARTA,150075,1061430,1006725,146179,1076003,1089362,716314,5246088,9/30/2022
CEN149,DESCONOCIDO,,,,,,,,,9/30/2022
CEN150,VIA ALTA GUANAJUATO,48389,490826,384674,548488,634207,987607,260882,3355073,9/30/2022
CEN151,PLAZA FIESTA ANAHUAC,166024,917271,422751,51627,39911,1228076,674981,3500641,9/30/2022
CEN152,PLAZA FIESTA SAN  AGUSTIN,1182852,246846,758336,191639,101858,497378,348692,3327601,9/30/2022
CEN153,LAGO DE GUADALUPE,839072,173951,789713,476274,294973,252586,992772,3819341,9/30/2022
CEN154,CENTRIKA,700074,313920,1218634,766874,880346,426950,1198087,5504885,9/30/2022
CEN155,PATIO POZA RICA,132984,1136798,1104734,158041,443909,944472,658376,4579314,9/30/2022
CEN156,MERIDA CITY CENTER,272634,168203,666990,97451,1218818,548966,1160836,4133898,9/30/2022
CEN157,ZENTRALIA CHURUBUSCO,352453,608400,332138,754810,461376,1054759,252386,3816322,9/30/2022
CEN158,ALMANARA,903962,405413,1001766,551287,1025401,670219,454010,5012058,9/30/2022
CEN159,PATIO HERMOSILLO,734629,510031,1083783,1089557,1210933,460195,1144587,6233715,9/30/2022
CEN160,PATIO CHALCO,236368,1195404,124686,240388,1157041,450028,560639,3964554,9/30/2022
CEN161,GALERIAS MAZATLAN,241277,593080,622991,354717,729305,609633,753142,3904145,9/30/2022
CEN162,TERRAZA COAPA,397747,156283,406064,684660,1211051,856626,1028893,4741324,9/30/2022
CEN163,LANDMARK GDL,1234595,25692,902256,95876,78296,1047961,946375,4331051,9/30/2022
CEN164,ESPACIO AGUASCALIENTES,346344,1114339,331587,1208864,603951,840915,103212,4549212,9/30/2022
CEN165,PATIO LINCOLN,492861,841521,729795,218937,988956,1177799,804894,5254763,9/30/2022
CEN166,CHIHUAHUA CENTRO,,,,,,,,,9/30/2022
CEN167,OUTLET CANCUN,390033,498129,886195,879936,70732,546516,313971,3585512,9/30/2022
CEN168,AMERICAS MERIDA,633125,334182,740906,983378,323089,904145,638005,4556830,9/30/2022
CEN169,POZA RICA CENTRO,880983,260764,1204295,1020693,1138860,500821,956392,5962808,9/30/2022
CEN170,PATIO MATAMOROS,1204924,820504,250286,256417,92900,1053383,244913,3923327,9/30/2022
CEN171,SANTA ANITA,874077,103869,402198,678610,1081477,715560,554437,4410228,9/30/2022
CEN172,SENDERO TOLUCA,914822,95281,553714,694034,562197,479460,251787,3551295,9/30/2022
CEN173,SENDERO TIJUANA,373269,890920,926573,415985,465209,939524,1127778,5139258,9/30/2022
CEN174,PLAYA DEL CARMEN ESSES,1138209,1022778,1064226,1028670,1135277,861923,204447,6455530,9/30/2022
CEN175,FORUM TEPIC,834037,223448,1110719,615823,642947,554952,117507,4099433,9/30/2022
CEN176,PLAZA BELLA OAXACA,696712,40104,496290,905691,52867,979349,668844,3839857,9/30/2022
CEN177,MACROPLAZA DEL VALLE (MEXICALI),411590,950751,36256,995389,810137,214589,849973,4268685,9/30/2022
CEN178,PASEO LOS MOCHIS,71584,1233573,596090,223407,849436,283581,585297,3842968,9/30/2022
CEN179,PLAZA TEPEYAC,662322,98007,356929,67933,1157740,239011,597169,3179111,9/30/2022
CEN180,AMERICAS XALAPA,205170,182472,95938,458547,777761,1095613,548363,3363864,9/30/2022
CEN181,PLAZA SATELITE,654194,411438,1150087,1087066,201439,282609,1144295,4931128,9/30/2022
CEN182,SENDERO OBREGON,1081066,972134,681552,975785,1091869,113339,365416,5281161,9/30/2022
CEN183,MASARYK,192710,412478,301285,426017,432315,398833,911960,3075598,9/30/2022
CEN184,TOWN CENTER EL ROSARIO,1019326,458233,31302,220986,369029,603302,1104534,3806712,9/30/2022
CEN185,LOS ATRIOS CUAUTLA,503248,781578,834382,1039229,701786,657941,1092783,5610947,9/30/2022
CEN186,DESCONOCIDO,,,,,,,,,9/30/2022
CEN187,GRAN TERRAZA OBLATOS,406637,941667,519452,222526,124338,1163023,1011208,4388851,9/30/2022
CEN188,PLAZA SAN PEDRO,382778,598702,725971,986792,829451,314484,199271,4037449,9/30/2022
CEN189,MADERO 67,674738,1115167,699481,893562,1104502,964797,1101328,6553575,9/30/2022
CEN190,REFORMA LAREDO,224756,177430,477434,456892,1093802,617652,208858,3256824,9/30/2022
CEN191,PREMIUM OUTLETS QUERETARO,121332,1208164,1217125,1161305,486115,850922,93390,5138353,9/30/2022
CEN192,ACTINVER SANTA FE,341774,247235,65929,37001,756318,1171852,425858,3045967,9/30/2022
CEN193,PRADO NORTE,682096,292391,651524,1212668,407130,1007588,444748,4698145,9/30/2022
CEN194,GALERIAS TLAXCALA,370889,844632,973306,739772,1092289,1164023,1229460,6414371,9/30/2022
CEN195,GALERIAS CAMPECHE,495019,405609,445519,807474,1022589,222375,649052,4047637,9/30/2022
CEN196,GALERIAS CELAYA,769057,804918,955059,1245896,688366,854487,624933,5942716,9/30/2022
CEN197,GALERIAS TAPACHULA,311183,872260,452464,750986,898004,538375,944469,4767741,9/30/2022
CEN198,FASHION MALL CHIHUAHUA,284071,968698,242359,591033,689789,30633,1225031,4031614,9/30/2022
CEN199,PUNTA NORTE,320859,516071,1124192,655010,703654,818392,276524,4414702,9/30/2022
CEN200,PERISUR,379679,1153931,1219430,970844,1049492,33867,96752,4903995,9/30/2022
CEN201,ESFERA MONTERREY,295219,303772,395923,760061,231776,1219591,840174,4046516,9/30/2022
CEN202,COATZACOALCOS CENTRO,,,,,,,,,9/30/2022
CEN203,MACROPLAZA INSURGENTES (TIJUANA),125235,412599,808731,515494,1051754,1121045,421236,4456094,9/30/2022
CEN204,PUERTA TEXCOCO,113638,768517,334720,584949,1039282,589386,435797,3866289,9/30/2022
CEN205,APTO CHIHUAHUA,459958,159059,27277,963543,267058,647662,47671,2572228,9/30/2022
CEN206,ROYAL VILLAGE COZUMEL,672688,730947,294002,903253,668217,445237,41544,3755888,9/30/2022
CEN207,APTO MTY TA,56637,441667,119452,222526,12338,33023,211208,1096851,9/30/2022
CEN208,APTO SLP,692599,124591,455989,93433,174449,69849,919771,2530681,9/30/2022
CEN209,APTO CD JUAREZ,94370,271984,216957,166413,1027058,306172,348396,2431350,9/30/2022
CEN210,PUERTO PARAISO LOS CABOS,202111,900161,148475,788914,415263,97450,1158037,3710411,9/30/2022
CEN211,LAS MISIONES JUAREZ,810469,561001,912422,207172,775503,1138733,146676,4551976,9/30/2022
CEN212,APTO MTY TC,30141,36027,719576,884461,126269,494273,419068,2709815,9/30/2022
CEN213,APTO MAZATLAN,149425,189557,120686,958016,339470,555013,118561,2430728,9/30/2022
CEN214,APTO CULIACAN,,,,,,,,,9/30/2022
CEN215,GALERIAS CUERNAVACA,670568,409406,1122789,670519,1201787,200998,122317,4398384,9/30/2022
CEN216,PLAZA SAN LUIS,425304,991270,1105946,63396,527803,920891,197640,4232250,9/30/2022
CEN217,GRAN PLAZA MAZATLAN,,,,,,,,,9/30/2022
CEN218,AMERICAS ECATEPEC,626329,1145167,240894,61264,952098,464938,249472,3740162,9/30/2022
CEN219,PLAZA AGORA,44586,970080,920517,398452,272227,904602,1249315,4759779,9/30/2022
CEN220,PARQUE TEZONTLE,282821,455418,1140088,651915,84297,501787,694281,3810607,9/30/2022
CEN221,E COMMERCE,226329,145167,245894,221264,353098,463938,243472,1899162,9/30/2022
CEN222,GALERIAS MONTERREY,903037,85525,890200,763947,591460,553951,715667,4503787,9/30/2022
CEN223,GALERIAS METEPEC,123732,1241901,941175,823133,726042,736854,32629,4625466,9/30/2022
CEN224,SAN LUIS POTOSI CENTRO,41516,882618,340112,235664,511551,768091,1004919,3784471,9/30/2022
CEN225,PARQUE LINDAVISTA,19314,149866,762882,918232,688131,315607,77981,2932013,9/30/2022
CEN226,OCEANIA,255780,498420,762590,136815,544333,694267,1135358,4027563,9/30/2022
CEN227,APTO T1 GRANDE,678020,84198,519181,371512,190478,301569,426087,2571045,9/30/2022
CEN228,APTO T1 CHICA,,,,,,,,,9/30/2022
CEN229,PENINSULA TIJUANA,563616,958024,24862,970522,830279,866133,345292,4558728,9/30/2022
CEN230,PARQUE TEPEYAC,797507,1072325,207798,230409,39750,578912,802384,3729085,9/30/2022
CEN231,PORTAL SAN ANGEL,1105276,785479,43294,242589,310993,1220762,34483,3742876,9/30/2022
CEN232,AMERICAS CHETUMAL,272367,1166738,545015,776393,244399,267242,55128,3327282,9/30/2022
CEN233,GALERIAS SALTILLO,26562,925365,925397,54427,1039812,599824,969398,4540785,9/30/2022
CEN234,MITHIKA,1089108,145788,233104,788767,393322,784850,101528,3536467,9/30/2022
CEN235,FUNO CAMBIO 3,,,,,,,,,9/30/2022
CEN236,FUNO CAMBIO 4,,,,,,,,,9/30/2022
