Codigo de Centro,Sucursal,Hogar,Salud y Bellleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN022,FORTUNA LINDAVISTA,768080,331639,114844,359874,879305,469945,303073,3226760,6/30/2022
CEN023,PUEBLA 4,745018,1204392,157976,452174,181838,1130752,739147,4611297,6/30/2022
CEN024,CENTRO XALAPA,822970,1113299,1044029,819290,885099,930774,393525,6008986,6/30/2022
CEN025,INSURGENTES FLAGSHIP,1118676,1075506,946370,616335,1240625,1149768,963721,7111001,6/30/2022
CEN026,LEON CENTRO PORTALES,621777,858127,1197036,1244475,1002298,434457,614526,5972696,6/30/2022
CEN027,CONDESA,861070,686229,610640,767109,388896,1043509,1155339,5512792,6/30/2022
CEN028,VIA VALLEJO,818319,632016,634431,1072290,344379,240007,278432,4019874,6/30/2022
CEN029,CENTRO 16 DE SEPTIEMBRE,1176988,384451,329496,868494,554509,1125138,1170698,5609774,6/30/2022
CEN030,PABELLON POLANCO,83560,908189,628597,158307,927172,883232,944202,4533259,6/30/2022
CEN031,LA CUSPIDE,558224,763151,669877,861910,641681,662998,270875,4428716,6/30/2022
CEN032,CUATRO CAMINOS A,419626,790026,266092,841999,371916,48446,276914,3015019,6/30/2022
CEN033,CUATRO CAMINOS B,113383,446806,508833,293661,1138135,1099355,170342,3770515,6/30/2022
CEN034,PLAZA INBURSA,852013,1093167,116046,579401,246074,264190,193900,3344791,6/30/2022
CEN035,PLAZA TLALNEPANTLA,659808,1145925,1010359,400958,860419,534202,857091,5468762,6/30/2022
CEN036,PLAZA CARSO,817793,337162,1242965,25643,682594,538609,1226704,4871470,6/30/2022
CEN037,PLAZA Q,823983,485584,1059155,989661,443513,1058393,755316,5615605,6/30/2022
CEN038,TOWN SQUARE METEPEC,1163862,739167,1014879,1168835,60259,426677,236267,4809946,6/30/2022
CEN039,SCOTIA AEROPUERTO,98996,265004,413349,964325,466331,21774,187366,2417145,6/30/2022
CEN040,ALTACIA LEON,701837,764954,638849,859620,793933,22427,553991,4335611,6/30/2022
CEN041,ALTARIA AGUASCALIENTES,24651,894719,1035830,674112,534600,741095,692175,4597182,6/30/2022
CEN042,AEROPUERTO I,,,,,,,,,6/30/2022
CEN043,TERMINAL 2,285015,413699,411270,414225,67402,27418,539073,2158102,6/30/2022
CEN044,SAMARA,403962,391186,118513,607071,721409,1095795,498792,3836728,6/30/2022
CEN045,DESCONOCIDO,,,,,,,,,6/30/2022
CEN046,GRAN PLAZA GUADALAJARA,491293,789327,111064,1069756,1164571,1239542,468077,5333630,6/30/2022
CEN047,GALERIAS GUADALAJARA,609528,242333,315588,919363,248082,1093943,983837,4412674,6/30/2022
CEN048,PASEO DEL CARMEN,937107,1121592,1213659,414294,1141325,905139,537003,6270119,6/30/2022
CEN049,REVOLUCION,1150726,1092283,1075318,1019482,1080163,206641,319212,5943825,6/30/2022
CEN050,ANTENAS,1233380,1136531,563060,1207122,507890,311073,40487,4999543,6/30/2022
CEN051,AEROPUERTO VOLARIS,279407,231676,314145,201152,369910,333832,353645,2083767,6/30/2022
CEN052,AEROPUERTO INTERNACIONAL,126387,179683,594074,587644,359352,507897,276693,2631730,6/30/2022
CEN053,THOR PLAYA DEL CARMEN,,,,,,,,,6/30/2022
CEN054,GRAN PLAZA CANCUN,501607,65695,164848,25837,1028007,478916,891524,3156434,6/30/2022
CEN055,GALERIAS PACHUCA,1104101,792135,109043,122268,685797,814519,1075230,4703093,6/30/2022
CEN056,AMERICAS CHETUMAL,,,,,,,,,6/30/2022
CEN057,AMERICAS PLAYA DEL CARMEN,857981,352973,751507,633809,1177854,1000774,239883,5014781,6/30/2022
CEN058,CANCUN MALL,1189054,683641,712365,298307,934514,1232696,1117415,6167992,6/30/2022
CEN059,CLAVERIA,486122,541329,508883,907010,447196,213914,911583,4016037,6/30/2022
CEN060,LA ISLA CANCUN,696673,1243254,782764,1095352,1119738,529553,95267,5562601,6/30/2022
CEN061,MITHIKA,,,,,,,,,6/30/2022
CEN062,PARQUE TOREO,391752,368957,1174107,271483,1189282,1022620,334269,4752470,6/30/2022
CEN063,AMERICAS CANCUN,783187,1234673,478857,267523,726334,716502,97973,4305049,6/30/2022
CEN064,CHEDRAUI POLANCO,53661,31788,139788,897451,227628,829983,665481,2845780,6/30/2022
CEN065,AMERICAS VERACRUZ,188589,653272,484348,999038,142984,673025,175667,3316923,6/30/2022
CEN066,EL DORADO VERACRUZ,1088166,106675,432715,271032,895252,161564,736374,3691778,6/30/2022
CEN067,AEROPUERTO SALAS,123617,138020,338115,102404,167769,30561,369053,1269539,6/30/2022
CEN068,ANTEA QUERETARO,743993,600655,251101,1042566,235770,155821,337596,3367502,6/30/2022
CEN069,CIBELES IRAPUATO,457320,644961,881577,759663,1009971,273511,334122,4361125,6/30/2022
CEN070,PUERTA LA VICTORIA,1239209,373497,918863,1136727,293357,1147574,126232,5235459,6/30/2022
CEN071,PUERTA ARAGON,,,,,,,,,6/30/2022
CEN072,TOLUCA PORTALES,721283,919451,920314,30980,1130457,137518,1151628,5011631,6/30/2022
CEN073,SENTURA TLALNEPANTLA,1005736,286286,706148,339830,477018,497813,745856,4058687,6/30/2022
CEN074,CENTRO MERIDA,33128,100680,688707,825150,1189418,768580,879710,4485373,6/30/2022
CEN075,OASIS COYOACAN,984379,122824,279135,1156105,451337,421453,278879,3694112,6/30/2022
CEN076,PLAZA CENTRAL,927059,544521,1153122,646816,775983,401083,476948,4925532,6/30/2022
CEN077,PARQUE DELTA,736607,892775,1143338,382718,924347,458257,586430,5124472,6/30/2022
CEN078,MUNDO E CINEMEX,1168822,1100785,198665,425698,56816,187694,432842,3571322,6/30/2022
CEN079,PASEO INTERLOMAS,99294,461011,481128,1038854,1174179,412481,800384,4467331,6/30/2022
CEN080,GALERIAS TOLUCA,645009,1200379,1005123,226395,310261,123601,878042,4388810,6/30/2022
CEN081,PLAZA DORADA,255098,927936,896221,55914,934174,1120243,599534,4789120,6/30/2022
CEN082,AMBAR GUANAJUATO,,,,,,,,,6/30/2022
CEN083,PATIO TAPACHULA,,,,,,,,,6/30/2022
CEN084,TORRE LATINOAMERICANA,1179407,901676,314145,201152,1069910,1233832,353645,5253767,6/30/2022
CEN085,PLAZA LA ROSA,932805,1156695,326255,532884,399998,350084,425898,4124619,6/30/2022
CEN086,HARBOR MERIDA,623571,182497,958977,433685,602138,855107,1103670,4759645,6/30/2022
CEN087,DESCONOCIDO,,,,,,,,,6/30/2022
CEN088,PORTAL CENTRO,842079,1193692,1232169,876941,837043,333078,301754,5616756,6/30/2022
CEN089,CRYSTAL XALAPA,776074,1248486,996533,868256,944627,763375,507203,6104554,6/30/2022
CEN090,PLAZA MAYOR,219950,213461,1244914,769448,1052779,971746,1068699,5540997,6/30/2022
CEN091,ALTABRISA MERIDA,1052437,1207191,1121447,1035381,172881,772036,871557,6232930,6/30/2022
CEN092,PLAZA JARDIN NEZA,616537,435378,743445,601171,1192762,547762,212256,4349311,6/30/2022
CEN093,COSMOPOL,927047,71101,849770,219017,854200,568622,914508,4404265,6/30/2022
CEN094,ZENTRALIA CIUDAD DEL CARMEN,430426,269192,919173,678719,1036917,820038,748813,4903278,6/30/2022
CEN095,PASEO LA FE MONTERREY,674975,126663,771440,1051055,1052439,881712,1147217,5705501,6/30/2022
CEN096,PATIO TLAXCALA,1051666,869406,70383,944706,497885,1079117,218840,4732003,6/30/2022
CEN097,ZENTRALIA COLIMA,1141470,1127666,251467,296831,252840,124767,630320,3825361,6/30/2022
CEN098,GRAN SUR,231980,70291,67369,911695,605168,965213,525432,3377148,6/30/2022
CEN099,PABELLON CUEMANCO,334352,790290,389882,728578,458823,619379,387167,3708471,6/30/2022
CEN100,WORLD TRADE CENTER,,,,,,,,,6/30/2022
CEN101,ANGELOPOLIS PUEBLA,938933,855551,672634,693623,1018243,964176,741741,5884901,6/30/2022
CEN102,CUMBRES MTY NUEVO LEON,1220007,1050660,1076295,103973,642585,1105933,718075,5917528,6/30/2022
CEN103,FASHION DRIVE,701925,319489,925239,731534,641311,259787,812840,4392125,6/30/2022
CEN104,PUNTO VALLE NUEVO LEON,,,,,,,,,6/30/2022
CEN105,LINCOLN MONTERREY,,,,,,,,,6/30/2022
CEN106,MONTERREY MORELOS (CENTRO),473112,814625,1168435,394497,741453,945837,1205969,5743928,6/30/2022
CEN107,PUNTO SUR,740238,1088737,67078,400556,994681,1064539,1092069,5447898,6/30/2022
CEN108,LA PERLA JALISCO,309199,793340,87886,196529,471283,654959,1170563,3683759,6/30/2022
CEN109,GALERIAS VALLE ORIENTE MTY,621046,401566,416084,1165600,761339,1016542,1172646,5554823,6/30/2022
CEN110,PATIO MERIDA,,,,,,,,,6/30/2022
CEN111,MAX LEON,426703,473558,948276,1094816,115884,721699,569384,4350320,6/30/2022
CEN112,ESPACIO CONDESA,,,,,,,,,6/30/2022
CEN113,DESCONOCIDO,,,,,,,,,6/30/2022
CEN114,PLAZA MAGNO CENTRO,492321,206013,987227,413936,1181050,162874,984702,4428123,6/30/2022
CEN115,TAPACHULA CENTRO,448733,1181494,1191501,1112929,958314,880120,1041989,6815080,6/30/2022
CEN116,PLAYA DEL CARMEN,,,,,,,,,6/30/2022
CEN117,AMERICAS MORELIA (ESPACIO),167110,724610,104781,1224606,272555,47270,1064134,3605066,6/30/2022
CEN118,MORELIA CENTRO,793225,212326,589955,147997,143081,721718,687690,3295992,6/30/2022
CEN119,DORADOS SAN LUIS,1058272,1179389,46994,262617,1008917,348010,976337,4880536,6/30/2022
CEN120,LA LUCIERNAGA,742775,974546,801190,312495,592735,1179714,930855,5534310,6/30/2022
CEN121,AMERICAS VERACRUZ B,73768,316596,761395,630254,921219,636557,121810,3461599,6/30/2022
CEN122,PASEO SAN PEDRO MTY,209832,1155367,620015,1135110,395402,596588,242364,4354678,6/30/2022
CEN123,OAXACA CENTRO,418630,1146771,492564,539521,1130292,923691,527517,5178986,6/30/2022
CEN124,AEROPUERTO CANCUN,,,,,,,,,6/30/2022
CEN125,AMBAR TUXTLA,703280,800639,763764,97253,696097,611050,1116680,4788763,6/30/2022
CEN126,FORUM TLAQUEPAQUE,1163037,946253,60665,1045209,449707,939220,247055,4851146,6/30/2022
CEN127,OUTLET LERMA,75827,1093095,702609,694669,956803,268907,734182,4526092,6/30/2022
CEN128,VERACRUZ CENTRO,761695,1119871,1150662,897493,641426,699781,25456,5296384,6/30/2022
CEN129,PARQUE CELAYA,577281,1200334,592054,1168680,666368,1166447,943600,6314764,6/30/2022
CEN130,AMERICAS TUXTLA,721133,809390,1138927,952585,189355,1226204,1189244,6226838,6/30/2022
CEN131,GENOVA,144503,538016,1203321,1185407,501705,21707,199962,3794621,6/30/2022
CEN132,PASEO ALTOZANO,519937,795931,102807,196191,177000,1135881,1074786,4002533,6/30/2022
CEN133,PASEO CENTRAL CHIHUAHUA,1154145,281276,917328,637619,504237,865360,422475,4782440,6/30/2022
CEN134,GRAN PLAZA MERIDA,321967,1005959,1198663,420279,369603,533420,315328,4165219,6/30/2022
CEN135,AEROPUERTO CANCUN T2,377673,730558,443895,272491,278722,54995,42525,2200859,6/30/2022
CEN136,AEROPUERTO CANCUN T4,578088,585007,399708,343327,642475,109221,381344,3039170,6/30/2022
CEN137,PLAZA INSURGENTES,686344,1246983,1090602,658008,447230,1158960,152698,5440825,6/30/2022
CEN138,ALTABRISA TABASCO,952299,613755,33643,1225283,1045289,152431,29162,4051862,6/30/2022
CEN139,APTO CANCUN T2 GDE,943331,754427,333255,685184,787448,762088,258703,4524436,6/30/2022
CEN140,DESCONOCIDO,,,,,,,,,6/30/2022
CEN141,GALERIAS DIANA,476986,1028032,985865,895272,1027815,537174,727569,5678713,6/30/2022
CEN142,TAMPICO CENTRO,307299,882397,393069,705141,685699,761739,532548,4267892,6/30/2022
CEN143,ALTAMA,854244,540208,1238555,1030703,158656,1205648,714978,5742992,6/30/2022
CEN144,PATIO ACAPULCO,362979,320169,1110569,799472,507108,263573,433242,3797112,6/30/2022
CEN145,CITADEL LA FE,427842,1028811,627228,276553,456665,620984,143676,3581759,6/30/2022
CEN146,GALERIAS VALLARTA,183356,479418,680761,782305,175700,742572,496753,3540865,6/30/2022
CEN147,ALAIA GUANAJUATO,807534,1009562,354395,590152,458456,594118,1233039,5047256,6/30/2022
CEN148,ISLA VALLARTA,792653,912098,313729,550403,881212,803395,1137846,5391336,6/30/2022
CEN149,DESCONOCIDO,,,,,,,,,6/30/2022
CEN150,VIA ALTA GUANAJUATO,719227,920925,305663,533959,426175,128489,444780,3479218,6/30/2022
CEN151,PLAZA FIESTA ANAHUAC,363226,351561,99927,268607,622152,1181563,744866,3631902,6/30/2022
CEN152,PLAZA FIESTA SAN  AGUSTIN,339212,256065,439072,588928,396050,826780,591780,3437887,6/30/2022
CEN153,LAGO DE GUADALUPE,773235,385872,475519,484854,938929,109269,876095,4043773,6/30/2022
CEN154,CENTRIKA,481257,902423,869865,1143925,733796,382370,1167163,5680799,6/30/2022
CEN155,PATIO POZA RICA,337333,630475,1106397,673586,921300,957388,69579,4696058,6/30/2022
CEN156,MERIDA CITY CENTER,723158,472714,109877,1228369,167820,794603,834347,4330888,6/30/2022
CEN157,ZENTRALIA CHURUBUSCO,862332,283446,579524,1085352,182464,504692,537036,4034846,6/30/2022
CEN158,ALMANARA,290666,928062,1192948,992132,724546,510122,383247,5021723,6/30/2022
CEN159,PATIO HERMOSILLO,588565,803633,1015111,1081089,462979,1237510,926203,6115090,6/30/2022
CEN160,PATIO CHALCO,1225100,1024568,92428,229321,616943,725750,243408,4157518,6/30/2022
CEN161,GALERIAS MAZATLAN,100905,215275,1170041,882762,161472,431641,1186891,4148987,6/30/2022
CEN162,TERRAZA COAPA,220546,356705,1101487,662526,1185344,54899,1225265,4806772,6/30/2022
CEN163,LANDMARK GDL,855715,344536,792297,289412,1145087,480573,491886,4399506,6/30/2022
CEN164,ESPACIO AGUASCALIENTES,773229,689830,283854,1133515,93578,903908,767595,4645509,6/30/2022
CEN165,PATIO LINCOLN,207550,428910,1208653,1111193,1069781,857630,520990,5404707,6/30/2022
CEN166,CHIHUAHUA CENTRO,,,,,,,,,6/30/2022
CEN167,OUTLET CANCUN,776875,135943,1187964,397231,201593,484032,535249,3718887,6/30/2022
CEN168,AMERICAS MERIDA,1053400,1209082,313268,945672,446192,450013,248690,4666317,6/30/2022
CEN169,POZA RICA CENTRO,1242600,845743,544367,1085092,546850,575148,1212458,6052258,6/30/2022
CEN170,PATIO MATAMOROS,184853,367038,442197,1245592,715112,796967,402671,4154430,6/30/2022
CEN171,SANTA ANITA,1085943,648071,24226,336913,835867,693608,815170,4439798,6/30/2022
CEN172,SENDERO TOLUCA,1006791,1045461,674114,34797,178009,293276,447227,3679675,6/30/2022
CEN173,SENDERO TIJUANA,1125211,1159264,128713,674748,196905,1185300,774255,5244396,6/30/2022
CEN174,PLAYA DEL CARMEN ESSES,1022412,1058095,1095217,67700,767185,1231019,1221575,6463203,6/30/2022
CEN175,FORUM TEPIC,346769,566126,932935,948131,326945,923595,246942,4291443,6/30/2022
CEN176,PLAZA BELLA OAXACA,336456,798657,245278,974898,650308,618494,485840,4109931,6/30/2022
CEN177,MACROPLAZA DEL VALLE (MEXICALI),423240,1047649,372903,1100814,357701,344527,734960,4381794,6/30/2022
CEN178,PASEO LOS MOCHIS,279566,759851,1186793,349822,842010,568218,133145,4119405,6/30/2022
CEN179,PLAZA TEPEYAC,471414,751729,603061,75599,745927,252338,431359,3331427,6/30/2022
CEN180,AMERICAS XALAPA,227700,739372,450899,521899,372392,1200740,33101,3546103,6/30/2022
CEN181,PLAZA SATELITE,1109054,1204168,183215,241057,522629,1147951,506050,4914124,6/30/2022
CEN182,SENDERO OBREGON,967761,1221876,267070,629440,1136134,229631,993690,5445602,6/30/2022
CEN183,MASARYK,733583,677984,195557,113122,497828,567608,444870,3230552,6/30/2022
CEN184,TOWN CENTER EL ROSARIO,553712,654964,1206294,399974,180691,503137,526472,4025244,6/30/2022
CEN185,LOS ATRIOS CUAUTLA,1180707,952360,852539,214236,981622,398388,1133821,5713673,6/30/2022
CEN186,DESCONOCIDO,,,,,,,,,6/30/2022
CEN187,GRAN TERRAZA OBLATOS,526864,289598,19139,1096358,618767,911912,967778,4430416,6/30/2022
CEN188,PLAZA SAN PEDRO,59318,1214053,1231921,61188,510438,948597,159218,4184733,6/30/2022
CEN189,MADERO 67,1082616,356805,406711,1147961,1160672,1219754,1210684,6585203,6/30/2022
CEN190,REFORMA LAREDO,1128483,807995,899821,242964,169378,68518,69166,3386325,6/30/2022
CEN191,PREMIUM OUTLETS QUERETARO,64656,1177547,336087,885101,1179366,785361,809444,5237562,6/30/2022
CEN192,ACTINVER SANTA FE,470188,706966,121503,923011,188991,319246,420657,3150562,6/30/2022
CEN193,PRADO NORTE,412991,992670,113944,1218940,917273,890213,218380,4764411,6/30/2022
CEN194,GALERIAS TLAXCALA,352734,1027172,1017057,766519,1171947,903904,1175181,6414514,6/30/2022
CEN195,GALERIAS CAMPECHE,702843,269769,1181554,743381,106050,737152,473291,4214040,6/30/2022
CEN196,GALERIAS CELAYA,805443,995421,976252,1146969,453263,432354,1200514,6010216,6/30/2022
CEN197,GALERIAS TAPACHULA,318930,1143716,32907,837462,1021595,1218147,248253,4821010,6/30/2022
CEN198,FASHION MALL CHIHUAHUA,631946,484644,311143,285675,403111,821691,1243038,4181248,6/30/2022
CEN199,PUNTA NORTE,240946,99862,155133,633121,1064027,1217399,1043862,4454350,6/30/2022
CEN200,PERISUR,1213738,641213,587078,1237148,31933,1145247,51137,4907494,6/30/2022
CEN201,ESFERA MONTERREY,1218184,960196,784462,400794,67356,262883,509518,4203393,6/30/2022
CEN202,COATZACOALCOS CENTRO,,,,,,,,,6/30/2022
CEN203,MACROPLAZA INSURGENTES (TIJUANA),1085252,195014,1206338,219087,371104,458781,939432,4475008,6/30/2022
CEN204,PUERTA TEXCOCO,1012334,79407,1203482,132545,709699,577772,429823,4145062,6/30/2022
CEN205,APTO CHIHUAHUA,1231465,51710,86557,77796,272654,945193,108103,2773478,6/30/2022
CEN206,ROYAL VILLAGE COZUMEL,1135032,887351,471799,482377,730788,130288,148797,3986432,6/30/2022
CEN207,APTO MTY TA,333738,341213,287078,537148,31933,545247,51137,2127494,6/30/2022
CEN208,APTO SLP,609317,44191,851512,144000,240979,456634,314974,2661607,6/30/2022
CEN209,APTO CD JUAREZ,84984,125202,135005,699668,767959,274074,146502,2233394,6/30/2022
CEN210,PUERTO PARAISO LOS CABOS,476364,380878,517133,493394,285923,535086,1149138,3837916,6/30/2022
CEN211,LAS MISIONES JUAREZ,694726,351742,1089796,145882,1123525,307510,945450,4658631,6/30/2022
CEN212,APTO MTY TC,287065,925828,455935,293367,214331,129878,485704,2792108,6/30/2022
CEN213,APTO MAZATLAN,161840,278113,153954,262543,204664,973022,177032,2211168,6/30/2022
CEN214,APTO CULIACAN,,,,,,,,,6/30/2022
CEN215,GALERIAS CUERNAVACA,48842,1178434,138813,839501,1052597,369299,806616,4434102,6/30/2022
CEN216,PLAZA SAN LUIS,809890,380129,81701,355937,610849,957508,1164810,4360824,6/30/2022
CEN217,GRAN PLAZA MAZATLAN,,,,,,,,,6/30/2022
CEN218,AMERICAS ECATEPEC,68955,603642,1039730,543182,337582,545065,768921,3907077,6/30/2022
CEN219,PLAZA AGORA,1086710,318575,992321,553828,782403,964811,110741,4809389,6/30/2022
CEN220,PARQUE TEZONTLE,237490,1071743,317527,225671,1045777,763783,363294,4025285,6/30/2022
CEN221,E COMMERCE,323484,145202,635005,569668,467959,574074,646502,3361894,6/30/2022
CEN222,GALERIAS MONTERREY,603954,911924,733563,98225,1035566,642073,568165,4593470,6/30/2022
CEN223,GALERIAS METEPEC,723617,738020,338115,1042404,1167769,30561,669053,4709539,6/30/2022
CEN224,SAN LUIS POTOSI CENTRO,1048612,435285,75472,44902,254541,946711,1202569,4008092,6/30/2022
CEN225,PARQUE LINDAVISTA,240010,54056,1070413,202125,672714,298661,558349,3096328,6/30/2022
CEN226,OCEANIA,1162982,95598,1225272,1107427,204235,124482,247400,4167396,6/30/2022
CEN227,APTO T1 GRANDE,38448,273622,156420,217291,1030769,660306,328473,2705329,6/30/2022
CEN228,APTO T1 CHICA,,,,,,,,,6/30/2022
CEN229,PENINSULA TIJUANA,133033,1008736,1022731,138272,776309,735039,874797,4688917,6/30/2022
CEN230,PARQUE TEPEYAC,422970,644811,1175207,445950,152592,829625,203607,3874762,6/30/2022
CEN231,PORTAL SAN ANGEL,342875,1087935,290901,1189781,272977,554704,225379,3964552,6/30/2022
CEN232,AMERICAS CHETUMAL,36386,783889,948268,958677,156376,92135,448021,3423752,6/30/2022
CEN233,GALERIAS SALTILLO,394335,459464,178824,963287,611617,1020376,996929,4624832,6/30/2022
CEN234,MITHIKA,465025,403783,417464,847273,144276,928241,444258,3650320,6/30/2022
CEN235,FUNO CAMBIO 3,,,,,,,,,6/30/2022
CEN236,FUNO CAMBIO 4,,,,,,,,,6/30/2022
